datetime,pred,kWh,seasonality
2023-07-25 07:00:00,5333728.837087989,5414125.940375,168
2023-07-25 08:00:00,5681024.544592902,5754333.515875,168
2023-07-25 09:00:00,5739378.631007925,5767702.7006250005,168
2023-07-25 10:00:00,5829551.782123536,5880719.75275,168
2023-07-25 11:00:00,5912756.60804145,6002301.603250001,168
2023-07-25 12:00:00,5691116.355139941,5720554.583000001,168
2023-07-25 13:00:00,5870542.55512464,5664446.6565000005,168
2023-07-25 14:00:00,5792780.988072455,5588953.177125,168
2023-07-25 15:00:00,5669899.836973414,5536642.6431249995,168
2023-07-25 16:00:00,5537784.349524125,5446274.262125,168
2023-07-25 17:00:00,5469270.963952795,5432292.8055,168
2023-07-25 18:00:00,5525608.4879332185,5572966.519125,168
2023-07-25 19:00:00,5405944.6673131585,5412674.94525,168
2023-07-25 20:00:00,5191922.705951571,5194388.004125,168
2023-07-25 21:00:00,5029991.842458487,5101317.888374999,168
2023-07-25 22:00:00,4838510.651300684,4992409.4555,168
2023-07-25 23:00:00,4437418.745913148,4697092.574624999,168
2023-07-26 00:00:00,4249168.493229806,4500753.881000001,168
2023-07-26 01:00:00,4051121.83043389,4360820.093875,168
2023-07-26 02:00:00,3932714.4330465943,4241018.025125,168
2023-07-26 03:00:00,3761722.920089036,4122051.851625,168
2023-07-26 04:00:00,3651783.820194185,4003620.742,168
2023-07-26 05:00:00,3996618.8751274347,4279814.78575,168
2023-07-26 06:00:00,4669960.885236323,4834370.7625,168
2023-07-26 07:00:00,5345030.926670447,5365772.509375,168
2023-07-26 08:00:00,5686522.679591849,5700402.143875,168
2023-07-26 09:00:00,5792295.514982954,5788134.432625,168
2023-07-26 10:00:00,5961679.542947128,5904827.92875,168
2023-07-26 11:00:00,6108734.38358286,5976908.5512500005,168
2023-07-26 12:00:00,5813537.231787935,5685088.333000001,168
2023-07-26 13:00:00,5829201.503010377,5614081.3765,168
2023-07-26 14:00:00,5641022.533895031,5465416.562125,168
2023-07-26 15:00:00,5529417.047956303,5334870.026125,168
2023-07-26 16:00:00,5481302.913407356,5289613.705125,168
2023-07-26 17:00:00,5450091.678772405,5304546.2535,168
2023-07-26 18:00:00,5448203.060437918,5339929.405125,168
2023-07-26 19:00:00,5261372.176042676,5225678.0792499995,168
2023-07-26 20:00:00,5006234.310751036,5117566.622125,168
